"Notes"	"Mother's Bridged Race"	"Mother's Bridged Race Code"	"ICD-10 130 Cause List (Infants)"	"ICD-10 130 Cause List (Infants) Code"	"Age of Mother"	"Age of Mother Code"	"Year of Death"	"Year of Death Code"	"State"	"State Code"	Deaths	Births	Death Rate
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2007"	"2007"	"Alabama"	"01"	16	2116	7.56 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2007"	"2007"	"Arizona"	"04"	10	1587	6.44 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2007"	"2007"	"Florida"	"12"	16	4800	3.33 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2007"	"2007"	"Georgia"	"13"	11	3450	3.21 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2007"	"2007"	"Illinois"	"17"	10	2891	3.51 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2007"	"2007"	"Indiana"	"18"	16	3476	4.64 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2007"	"2007"	"Kentucky"	"21"	10	3078	3.28 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2007"	"2007"	"Michigan"	"26"	17	3189	5.35 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2007"	"2007"	"Missouri"	"29"	12	3196	3.78 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2007"	"2007"	"New York"	"36"	10	2838	3.64 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2007"	"2007"	"North Carolina"	"37"	18	3224	5.59 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2007"	"2007"	"Ohio"	"39"	24	5261	4.65
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2007"	"2007"	"Pennsylvania"	"42"	18	3600	5.02 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2007"	"2007"	"Tennessee"	"47"	15	3352	4.48 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2007"	"2007"	"Texas"	"48"	28	6296	4.43
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2007"	"2007"	"Washington"	"53"	10	1945	5.14 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2008"	"2008"	"Florida"	"12"	19	4591	4.14 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2008"	"2008"	"Georgia"	"13"	14	3044	4.68 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2008"	"2008"	"Illinois"	"17"	10	2833	3.58 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2008"	"2008"	"Indiana"	"18"	15	3356	4.48 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2008"	"2008"	"Michigan"	"26"	12	3025	3.99 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2008"	"2008"	"Mississippi"	"28"	11	1470	7.52 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2008"	"2008"	"New York"	"36"	12	2647	4.57 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2008"	"2008"	"North Carolina"	"37"	13	3278	3.97 (Unreliable)
