"Notes"	"Mother's Bridged Race"	"Mother's Bridged Race Code"	"ICD-10 130 Cause List (Infants)"	"ICD-10 130 Cause List (Infants) Code"	"Age of Mother"	"Age of Mother Code"	"Year of Death"	"Year of Death Code"	"State"	"State Code"	Deaths	Births	Death Rate
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2007"	"2007"	"Illinois"	"17"	11	2759	4.04 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2007"	"2007"	"North Carolina"	"37"	19	2985	6.37 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2007"	"2007"	"Ohio"	"39"	19	5088	3.81 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2007"	"2007"	"Tennessee"	"47"	10	3195	3.14 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2007"	"2007"	"Texas"	"48"	14	5837	2.43 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2008"	"2008"	"Florida"	"12"	16	4285	3.74 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2008"	"2008"	"Ohio"	"39"	14	5057	2.81 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2008"	"2008"	"Pennsylvania"	"42"	18	3232	5.58 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2008"	"2008"	"Texas"	"48"	15	5852	2.53 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"Alabama"	"01"	11	2037	5.40 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"Florida"	"12"	12	3996	3.01 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"Indiana"	"18"	10	3190	3.17 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"Michigan"	"26"	10	2833	3.54 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"Missouri"	"29"	13	2642	4.92 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"New York"	"36"	13	2401	5.51 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"North Carolina"	"37"	10	2825	3.55 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"Ohio"	"39"	19	4628	4.03 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"Oklahoma"	"40"	10	1929	5.34 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"Pennsylvania"	"42"	13	2971	4.41 (Unreliable)
